id,user,fecha,tweet,pais,miedo,ira,expectante,confianza,sorpresa,tristeza,repulsion,alegria,positivo,negativo,emociones,polaridad,palabra,emocion,puntuacion
14195,MaritØ,2024-04-23 21:40:07,"Ecuador sin agua ni electricidad y la violencia e inseguridad desbordadas.

Argentina con la pobreza creciendo a pasos agigantados, sin productividad, sin crecimiento económico y con protestas en todo el país. 

La derecha es hambre.",Colombia,3,2,0,0,0,2,1,0,3,3,['miedo'],neutro,violencia,miedo,0.812
14196,Vivian de Torrijos,2024-04-23 19:59:37,Nunca había sentido tanta inseguridad de nuestro Tribunal Electoral como hasta hoy.,Panama,1,0,0,0,0,0,0,0,1,1,['miedo'],neutro,sentido,confianza,0.734
14198,César García Garzón,2024-04-23 19:24:40,"A Char lo entrevista Juan Roberto Vargas riéndose, son amigos. Lleva varios años haciéndole publicidad a su proyecto político. Cuando hablan de las extorsiones y la inseguridad, no lo cuestiona, lo entiende y le quita culpa. 

Y obvio, lo pone a opinar varias veces sobre Petro.",Colombia,1,0,0,1,0,1,1,0,1,2,"['miedo', 'confianza', 'tristeza', 'repulsion']",negativo,culpa,tristeza,0.75
14202,Lolo Miño,2024-04-22 23:04:55,"Un país donde en semana electoral dos alcaldes fueron asesinados y se encuentran cadáveres desmembrados como amenazas a la Fiscal General, donde no hay luz ni agua, donde los niveles de inseguridad son los segundos peores de Latinoamérica, se merece más seriedad que la del",Ecuador,1,0,0,0,0,0,0,0,1,1,['miedo'],neutro,inseguridad,miedo,0.484
14205,Roberto Madrazo,2024-04-22 17:19:29,".
@STaboadaMx
 ganó el debate antes de que empezara el debate, porque 
@ClaraBrugadaM
 lleva 9 años gobernando Iztapalapa pero Iztapalapa es la alcaldía que encabeza la lista de inseguridad con 16 mil homicidios y la lista de escasez de agua con 40% de tandeo.

Haber puesto por",Mexico,2,1,0,2,0,1,1,0,4,2,"['miedo', 'confianza']",positivo,lista,confianza,0.25
14207,Vero,2024-04-22 03:22:49,"A ver, ¿hay corrupción, inseguridad, problemas de movilidad, y escasez de agua en CDMX?

Qué no se les olvide que gobernaron López Obrador, Marcelo Ebrard, y Claudia Sheinbaum, y no hicieron nada.

¿Quieren más de lo mismo con Clara Brugada?

- Mujeres sin tratamiento para el",Mexico,2,1,0,0,0,2,1,0,0,4,"['miedo', 'tristeza']",negativo,corrupción,repulsion,0.656
14208,Simón Pedro,2024-04-22 03:13:19,Prefiero ver a toda la CDMX con la misma calidad de vida de la alcaldía Benito Juárez que con las carencias e inseguridad de Iztapalapa.,Mexico,1,0,0,0,0,0,0,0,0,1,['miedo'],negativo,inseguridad,miedo,0.484
14519,Rocco.,2024-04-22 01:15:39,"#CHVNoticias 
Si los locales nocturnos están agonizando también es culpa de los medios de comunicación y su agenda pro inseguridad.
Basta del comodín del ""estallido"".",Chile,1,0,0,1,0,1,1,0,0,2,"['miedo', 'confianza', 'tristeza', 'repulsion']",negativo,culpa,tristeza,0.75
14520,Cristina Reyes Hidalgo,2024-04-22 00:43:09,"¡No hay goleada! Los resultados reflejan un voto informado, distante del gobierno, que rechazó las propuestas, el modelo económico y la precarización. Se agotaron los pretextos para la ola de inseguridad que vive el país. Demandamos seguridad para nuestras familias, ya tienen los",Ecuador,2,0,1,1,0,0,0,1,2,2,['miedo'],neutro,voto,confianza,0.781
14521,Dani Mora,2024-04-21 23:51:57,"En unos meses cuando resulte que militarizar las calles no resuelve la inseguridad, qué dirá el gobierno; y cuando veamos cómo recrudece la persecución y los de arriba sigan olvidando a los niños que abandonan la educación, qué dirán los que votaron ""para no dar excusas"".",Ecuador,2,0,0,0,0,0,0,0,0,3,['miedo'],negativo,inseguridad,miedo,0.484
14524,Ignacio R. Morales Lechuga,2024-04-21 21:01:58,"Según la Encuesta Nacional de Seguridad Pública Urbana del Inegi, la percepción de inseguridad en Iztapalapa es de 72% y en la Benito Juárez es de 11.1%. Cuando salga a votar pregúntese en cuál ciudad le gustaría vivir a usted.",Mexico,1,1,1,1,1,1,0,1,1,2,"['miedo', 'ira', 'expectante', 'confianza', 'sorpresa', 'tristeza', 'alegria']",negativo,inseguridad,miedo,0.484
14530,Isabel Pérez Moñino,2024-04-20 12:51:42,"Llamar a la inmigración ilegal descontrolada, y darse paseos por los barrios abrazando a los vecinos y comercios por la inseguridad que sufren, a un mes de las elecciones, es de un cinismo bárbaro.",Spain,2,2,0,0,0,1,2,0,0,3,"['miedo', 'ira', 'repulsion']",negativo,bárbaro,miedo,0.859
14532,Luna Gil,2024-04-19 22:36:19,"Ni en los peores tiempos hacían esto caray... 

Cuauhtémoc Blanco gastó más de mil millones de pesos en promoción personal mientras al Estado de #Morelos lo hundía en inseguridad y pobreza nunca antes visto. Cero apoyo al campo y nulo combate contra la delincuencia. Y todavía la",EEUU,3,2,0,1,0,1,1,0,1,4,['miedo'],negativo,combate,miedo,0.728
14537,MARIA ANDREA NIETO,2024-04-18 21:30:52,"Presidente: NO PODEMOS SALIR DE BOGOTÁ. La potencia de vida tiene los precios de la gasolina y la comida por las nubes. Hoteles y tiquetes aéreos tienen IVA del 19%. Hay secuestros e inseguridad en las carreteras. Por lo anterior, le comunicamos que seguiremos evitando bañarnos,",Colombia,1,0,0,1,0,0,0,1,2,1,"['miedo', 'confianza', 'alegria']",positivo,comida,confianza,0.336
14836,Javier Alatorre,2024-04-18 13:55:26,"Aquí no hay quien viva. En Fresnillo (95%), Naucalpan (90%) y Zacatecas (90%) casi toda la población tiene miedo por la inseguridad. La #ENSU del INEGI revela que la percepción de inseguridad aumentó en el país. La calle y el transporte público son los sitios de mayor riesgo.",Mexico,4,0,4,1,1,1,0,1,3,4,"['miedo', 'expectante']",negativo,miedo,miedo,0.828
14837,Nico Canedo,2024-04-18 11:07:15,"las universidades, además de conocimiento, le dan vida a los barrios. Donde hay universidades hay gente, hay consumo, aparecen comercios a su alrededor, circulan personas y hay menos inseguridad. Desfinanciar a la universidad pública es también vaciar parte de la vida pública.",Argentina,1,0,0,0,0,0,0,0,1,1,['miedo'],neutro,inseguridad,miedo,0.484
14843,Dra Sweetty,2024-04-17 03:44:44,"Son ideas mías o desde que llegó el inútil de Galán, Bogotá está a punto de estallar?
Sin agua, con calor infernal, aumento de la inseguridad y ahora se dan trompada en la entrada del aeropuerto internacional.
Ahhh pero es un tecnócrata.
@BioSaura
 @ContraGodarria
 @JackDeLaConcha",Colombia,2,3,1,0,2,1,1,0,0,4,['ira'],negativo,infernal,miedo,0.828
14844,EL DOCTOR,2024-04-16 21:13:12,Los cancelan Los quieren funar y eso Les pasa  por robarme Las barras su inseguridad artística se siente hasta todo bien que sean fan pero ustedes por mas instrumentos que toquen por mas indies que se crean m arrepiento de hacer temas con ustedes menos mal que no hice más cosas,Colombia,1,0,0,0,0,0,0,0,1,2,['miedo'],negativo,mal,miedo,0.833
15170,Pedro Granja,2024-04-12 16:59:03,"5 asesinados en Cristo del Consuelo, entre ellos un niño.
Se les anticipó que los que proponían solucionar el problema de la inseguridad a bala no tenían idea de nada. 
La tasa de criminalidad NUNCA bajó.",Ecuador,4,1,1,0,0,2,1,1,1,5,['miedo'],negativo,criminalidad,miedo,0.642
15171,José Luis Espert,2024-04-12 14:33:00,"Todo el apoyo a 
@PatoBullrich
 que tiene como bandera combatir la inseguridad y el narcotráfico. Los argentinos merecemos tranquilidad y orden. No se dará ni un paso atrás.",Argentina,1,0,0,1,0,0,0,1,2,1,"['miedo', 'confianza', 'alegria']",positivo,tranquilidad,alegria,0.679
15172,Carlos Vera,2024-04-12 13:58:19,No hay que distraerse: la inseguridad sigue recuperando terreno y cobrando víctimas…,Argentina,1,0,0,0,0,0,0,0,0,1,['miedo'],negativo,inseguridad,miedo,0.484
15173,Marko Cortés,2024-04-11 21:44:16,"Denunciamos que el exgobernador y candidato a senador 
@PacoRamirezAcu
 haya sido retenido por grupos delictivos. Le exigimos a 
@lopezobrador_
 y 
@EnriqueAlfaroR
, le entren al tema YA, resuelvan la creciente inseguridad y los asaltos en las carreteras de Jalisco y todo México.",Argentina,1,0,1,0,0,0,0,1,2,2,"['miedo', 'expectante', 'alegria']",neutro,creciente,expectante,0.648
15174,Federico,2024-04-11 16:56:35,El principal problema que le veo al feminismo es que todas son abraza-bandidos. Y en el tercer mundo la inseguridad es mucho peor para la mujer. Entonces por eso son un chiste ambulante.,Argentina,3,0,0,0,0,2,0,0,1,3,['miedo'],negativo,inseguridad,miedo,0.484
